Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1262472467693604864,"Todos los que se suman a la moda de violar contratos están mudos. ¿Ya vieron qué pasa cuando desconoces un pacto? Te llevan a un tribunal internacional y pagas. Si no pagas dejas de ser sujeto de crédito ante el mundo.
Ahí tienen a Luis Castañeda. Lo mismo pasará con el Congreso.",Rosa María Palacios,rmapalacios,2020-05-18T19:57:46.000Z,Mon May 18 19:57:46 +0000 2020,728,183,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,0,0,0
1262469126074830858,RT https://t.co/yIFFwI1zsZ,Rosa María Palacios,rmapalacios,2020-05-18T19:44:29.000Z,Mon May 18 19:44:29 +0000 2020,23,5,und,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262467880563675137,"Recién hoy. 
Niños, hay un cambio de planes. https://t.co/2CdAoaQTug",Rosa María Palacios,rmapalacios,2020-05-18T19:39:32.000Z,Mon May 18 19:39:32 +0000 2020,26,2,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262467664297017346,RT @Hcoya : Pedimos el apoyo para la familia del actor Pold Gastelo en estos difíciles momentos que atraviesa. Cada centavo cuenta. Los costos del tratamiento de cada uno de ellos son enormes. #FuerzaPold https://t.co/A7D8miPnD0,Rosa María Palacios,rmapalacios,2020-05-18T19:38:41.000Z,Mon May 18 19:38:41 +0000 2020,0,0,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,Photo,https://pbs.twimg.com/media/EYUp1_8XQAAOM6f.jpg ,0,1,0
1262467605773852672,"RT @jgodoym : Falleció Ciro Alegria Varona, destacado filósofo y director de la Escuela de Postgrado de la PUCP  https://t.co/J28ndYzpUz",Rosa María Palacios,rmapalacios,2020-05-18T19:38:27.000Z,Mon May 18 19:38:27 +0000 2020,0,0,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,,1,0,0
1262218456860168193,"RT @michaelreid52 : Forty years ago today Sendero Luminoso (Shining Path) began its brutal campaign of terror in Ayacucho, Peru. Having reported from Ayacucho in those years, in my column this week I look at how Peru has and hasn't changed since then.
https://t.co/Is4SyUS9vQ",Rosa María Palacios,rmapalacios,2020-05-18T03:08:25.000Z,Mon May 18 03:08:25 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,0,0
1262218353290235904,"RT @larepublica_pe : Científicos de Farvet y la Universidad Cayetano Heredia anuncian un 95% de efectividad en el tratamiento que desarrollan con huevos de gallina.

https://t.co/79fomXHTfe",Rosa María Palacios,rmapalacios,2020-05-18T03:08:00.000Z,Mon May 18 03:08:00 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,0,0
1262218320062943232,"RT @joaquinreyh : De nuestro elenco de populistas el que más preocupa es el Sr.Urresti, cuyo discurso repite patrones de líderes que hacen gran daño en otros países ¿Por qué las demás bancadas dejan que se la lleve fácil en lugar de desnudar su improvisación? Mi columna hoy https://t.co/NH2tVm7pl6",Rosa María Palacios,rmapalacios,2020-05-18T03:07:53.000Z,Mon May 18 03:07:53 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,0,0
1262218184008110081,"RT @AlbertoGmezMel1 : Balance de mi guardia nocturna: Hospital  completamente abarrotado. No hay camas en UCI, ni ventiladores. Pacientes graves esperando un espacio. Llamadas de otros centros preguntando si podemos recibir sus pacientes. El escenario es claro EL SISTEMA YA LLEGO A SU MÁXIMA CAPACIDAD",Rosa María Palacios,rmapalacios,2020-05-18T03:07:20.000Z,Mon May 18 03:07:20 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,0
1262218102202302464,"RT @AlbertoGmezMel1 : Del muro de @Alfredo_MACHI Distribución de las 6 camas de una UCI COVID local :
1 Repartidor de gaseosas
2 Vendedora de mercado
3 Repartidor de productos en el mercado
4 Acudía frecuentemente al mercado
5 Repartidora de tortas q llevaba al mercado
6. Un medico
Eso les dice algo ?",Rosa María Palacios,rmapalacios,2020-05-18T03:07:01.000Z,Mon May 18 03:07:01 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,0,1
1262217855229181952,"RT @radio_santarosa : Mañana 18 de mayo a las 8:00 a.m. en #APensarMás conn @rmapalacios, estará el Gerente de Operaciones de @EsSaludPeru, #ÓscarUgarte, quien hablará sobre el panorama del Covid-19 al día 64 de Cuarentena y más. A través de @radio_santarosa. https://t.co/IVr2KsiM01",Rosa María Palacios,rmapalacios,2020-05-18T03:06:02.000Z,Mon May 18 03:06:02 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EYRB_R6XkAg06Uq.jpg ,0,2,3
1262185675459264520,"Que buena noticia!
Ucayali y Puerto Maldonado con iniciativa similares. https://t.co/v4qkmOnPZC",Rosa María Palacios,rmapalacios,2020-05-18T00:58:09.000Z,Mon May 18 00:58:09 +0000 2020,661,112,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262185481170714624,RT @ReutersLatam : Orquesta Sinfónica Nacional de Estados Unidos se presenta online durante aislamiento 🎹🇺🇸 https://t.co/2xZMpE4MRI,Rosa María Palacios,rmapalacios,2020-05-18T00:57:23.000Z,Mon May 18 00:57:23 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Video,https://video.twimg.com/amplify_video/1261357954575581185/vid/1280x720/MxOF7PCi8QqQolGv.mp4?tag=13 ,0,0,0
1262184621258702848,Hospital Rebagliati @EsSaludPeru https://t.co/YH26KDLt2k,Rosa María Palacios,rmapalacios,2020-05-18T00:53:58.000Z,Mon May 18 00:53:58 +0000 2020,107,61,it,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,1
1262182925422002176,RT @jotabruce : Formidable capacidad de ir a lo esencial. Acá algunos lo tildarían de terrorista por decir las cosas como son. https://t.co/kTHOkU9589,Rosa María Palacios,rmapalacios,2020-05-18T00:47:14.000Z,Mon May 18 00:47:14 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,1,0,0
1262181649275670528,"Este pedido es indispensable para trabajo científico.
No se atiende.
¿Qué se oculta?
Tanta negativa es tan irracional que llama a sospecha. https://t.co/mOSCBVwcjj",Rosa María Palacios,rmapalacios,2020-05-18T00:42:10.000Z,Mon May 18 00:42:10 +0000 2020,54,13,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,0,0
1262180859907620864,"RT @ManuelaRamos : 🌈Hace 30 años la OMS eliminó de la lista de enfermedades mentales a la homosexualidad. Por eso hoy es el Día Internacional contra la Homofobia, la Transfobia y la Bifobia. El Perú aún no cuenta con una Ley de Identidad de Género. Ni con prohibición de terapias de reconversión. https://t.co/q3nJJloy2g",Rosa María Palacios,rmapalacios,2020-05-18T00:39:01.000Z,Mon May 18 00:39:01 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EYPYxJiXYAcm2EV.jpg ,0,0,0
1262180505837080578,RT @hemilio_vilchez : AYUDA PARA MI MADRE CON NEUMONÍA. EL 113 NI SIQUIERA LE HACE LA PRUEBA. Con tomografías y análisis su neumólogo dice hay alto grado de probabilidad de ser neumonía por COVID. NECESITA DIAGNÓSTICO Y ATENCIÓN MÉDICA URGENTE. TIENE PROBLEMAS PARA RESPIRAR. por favor RT @Minsa_Peru https://t.co/aLXXGHmNN9,Rosa María Palacios,rmapalacios,2020-05-18T00:37:37.000Z,Mon May 18 00:37:37 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/EYQZ6nrWoAAFJp7.jpg ,0,0,1
